SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
502407,NATH PULP   ,X ,Q,63.65,63.65,63.65,63.65,63.65,66.95,5,350,22277.00,
502420,ORIENT PAPER,B ,Q,34.70,37.20,34.55,35.35,35.35,34.75,1674,246605,8879375.00,
502445,CITADEL     ,X ,Q,18.30,19.00,18.30,19.00,19.00,19.35,5,300,5612.00,
502448,ROLLATAINER ,T ,Q,2.30,2.30,2.20,2.28,2.28,2.20,7,3517,7887.00,
502450,SESHA.PAPER ,B ,Q,960.00,975.00,960.00,968.00,969.00,943.85,46,285,275279.00,
502460,SOLID CONT. ,X ,Q,13.97,13.97,13.97,13.97,13.97,13.31,1,10,139.00,
502587,RAMA PULP   ,X ,Q,66.00,66.00,64.35,64.40,64.35,65.00,21,3223,209287.00,
502742,SINTEX IND. ,B ,Q,8.32,8.50,8.27,8.46,8.46,8.45,219,113533,948228.00,
502761,BLUE BLEND  ,B ,Q,4.10,4.10,4.10,4.10,4.10,4.20,1,200,820.00,
502820,DCM LTD.    ,B ,Q,59.00,60.15,58.75,59.00,59.00,59.30,24,2028,119654.00,
502865,FORBES & CO ,B ,Q,2331.00,2434.95,2331.00,2417.10,2408.00,2406.30,156,1066,2555055.00,
502873,H.P.COTTON  ,X ,Q,34.50,36.90,34.50,35.35,35.00,34.55,19,4033,141679.00,
502933,KATARE SPG. ,XT,Q,9.60,9.60,9.60,9.60,9.60,9.97,1,4,38.00,
502937,KESORAM IND ,B ,Q,74.50,74.50,69.20,69.75,69.50,70.10,184,13904,972466.00,
502958,LAKSHMI MILL,X ,Q,2650.00,2650.00,2619.80,2620.00,2620.00,2619.80,19,75,197107.00,
502986,VARDH TEXT  ,A ,Q,1086.35,1097.50,1071.85,1093.05,1097.50,1073.50,24,150,162875.00,
503015,MODERN INDIA,X ,Q,32.05,32.05,32.05,32.05,32.05,30.55,1,50,1602.00,
503031,PENLAND LTD ,B ,Q,9.00,9.15,8.92,9.03,9.03,9.05,116,40682,368982.00,
503100,PHOENIX MILL,A ,Q,647.55,661.00,642.90,653.30,661.00,645.70,17,85,55207.00,
503101,MARATHON NEX,B ,Q,158.00,159.80,140.40,143.95,143.95,149.60,104,3577,518831.00,
503162,REL.CHEMOTX ,X ,Q,74.05,75.45,73.80,75.00,75.00,74.10,19,1196,89326.00,
503169,RUBY MILLS  ,B ,Q,271.35,275.00,271.35,272.10,272.10,273.35,4,45,12251.00,
503229,SIMPLEX REAL,X ,Q,61.20,62.00,61.20,62.00,62.00,62.05,11,149,9190.00,
503310,SWAN ENG    ,A ,Q,114.00,114.00,108.25,110.80,110.00,111.80,438,138461,15240784.00,
503349,VICTORIA MIL,X ,Q,2599.90,2599.90,2400.00,2400.00,2400.00,2499.50,3,3,7399.00,
503657,VEER ENERGY ,X ,Q,10.79,10.79,10.58,10.69,10.76,10.60,30,5125,54856.00,
503659,SWIL        ,XT,Q,20.55,20.55,20.55,20.55,20.55,19.60,7,205,4212.00,
503663,TILAK       ,X ,Q,0.65,0.65,0.65,0.65,0.65,0.64,19,11446,7439.00,
503722,BANSW.SYNTEX,B ,Q,68.00,68.00,68.00,68.00,68.00,68.00,1,10,680.00,
503804,SHRI DINESH ,X ,Q,125.00,125.00,123.75,123.75,123.75,130.00,3,138,17165.00,
503806,SRF LIMITED ,A ,Q,2470.00,2472.20,2451.00,2466.70,2462.00,2475.55,381,6650,16385602.00,
503811,SIYARAM SILK,B ,Q,456.15,456.15,422.15,429.05,428.40,453.50,144,1652,711061.00,
503816,SWAD.POLYTEX,XT,Q,28.70,28.70,28.70,28.70,28.70,27.35,1,75,2152.00,
503863,SHREE MFG CO,XT,Q,5.99,5.99,5.99,5.99,5.99,5.99,6,19,113.00,
503960,BHARAT BIJLE,B ,Q,1090.00,1090.00,1077.00,1080.30,1080.00,1092.05,53,330,356853.00,
504000,ELPRO INTER ,X ,Q,50.00,50.70,49.20,49.70,49.70,50.25,24,4266,212083.00,
504008,EMCO LTD.   ,T ,Q,3.50,3.50,3.19,3.29,3.26,3.35,48,65910,211924.00,
504028,GEE LTD     ,X ,Q,33.95,33.95,32.95,33.00,32.95,32.25,8,751,24976.00,
504036,HIND.RECT   ,B ,Q,129.00,131.85,127.45,128.00,128.00,128.05,69,4392,568260.00,
504058,NIPPOBATRY  ,B ,Q,707.00,707.00,696.00,697.40,696.00,695.00,7,9,6303.00,
504067,ZENSAR TECH.,A ,Q,229.00,239.00,229.00,234.00,234.00,230.45,241,4484,1051987.00,
504076,JYOTI LTD.  ,XT,Q,10.99,10.99,10.15,10.16,10.15,10.60,17,1928,19723.00,
504084,KAYCEE IND  ,X ,Q,3202.00,3202.00,3162.55,3169.60,3162.55,3329.00,11,13,41366.00,
504092,INDOKEM LTD.,X ,Q,11.35,11.70,11.16,11.45,11.45,11.71,24,5254,59109.00,
504093,PANA ENERG  ,X ,Q,200.00,202.00,196.50,201.00,201.00,200.35,56,1114,222935.00,
504112,NELCO LTD.  ,B ,Q,317.00,332.90,317.00,320.80,320.80,315.55,1783,65197,21120348.00,
504132,PERM MAGNETS,X ,Q,164.60,165.00,162.10,163.00,163.00,165.05,37,1192,194854.00,
504176,HIGH ENERGY ,X ,Q,226.05,239.70,226.05,232.10,232.05,232.00,20,420,96212.00,
504212,UNIV.CABLE  ,B ,Q,221.10,230.00,221.10,226.65,226.65,224.85,168,5233,1187966.00,
504220,W.S.INDUSTR.,T ,Q,0.89,0.89,0.89,0.89,0.89,0.93,3,270,240.00,
504240,DELTON CABLE,XT,Q,18.00,18.00,18.00,18.00,18.00,18.55,3,250,4500.00,
504258,LAKSHMI ELEC,X ,Q,530.00,530.00,520.00,522.50,522.30,532.75,24,447,233409.00,
504286,DELTA MAG   ,B ,Q,75.45,75.45,75.45,75.45,75.45,76.95,1,20,1509.00,
504335,PAZEL       ,XT,Q,1.39,1.39,1.33,1.37,1.37,1.39,27,105027,142654.00,
504341,RELTD       ,X ,Q,44.00,44.00,44.00,44.00,44.00,42.30,2,100,4400.00,
504351,EMPOWER     ,X ,Q,0.19,0.19,0.19,0.19,0.19,0.19,3,1604,304.00,
504378,NYSSACORP   ,X ,Q,0.89,0.89,0.89,0.89,0.89,0.85,1,10,8.00,
504605,UNI ABEX    ,X ,Q,458.00,477.75,458.00,477.75,477.75,455.00,6,318,148914.00,
504614,SARDA ENMIN ,B ,Q,308.15,308.15,302.20,303.70,303.25,310.00,92,2507,763936.00,
504646,BHAGWATI AUT,X ,Q,153.90,156.00,141.15,145.05,145.05,146.60,41,1098,163644.00,
504741,IND.HUME PIP,B ,Q,294.60,296.85,288.25,293.35,293.00,294.65,27,840,247224.00,
504786,INVEST &PREC,X ,Q,280.20,285.00,269.20,281.35,281.35,275.40,26,1640,460965.00,
504810,INFORMEDTEC ,X ,Q,32.25,32.25,32.25,32.25,32.25,33.90,1,1,32.00,
504879,ORIENT ABRAS,B ,Q,26.65,27.15,26.60,26.60,26.60,27.45,4,500,13367.00,
504918,SANDUR MANG.,X ,Q,950.10,965.00,950.00,964.60,953.05,950.25,70,2565,2455421.00,
504959,STOVAC IND. ,X ,Q,2409.00,2499.00,2409.00,2447.40,2448.60,2369.55,76,590,1454740.00,
504961,TATA YODOGAW,X ,Q,50.95,50.95,45.00,45.85,45.85,47.20,135,10074,466918.00,
504966,TINPLATE    ,B ,Q,157.15,158.70,155.15,157.15,157.15,159.35,725,61583,9645080.00,
504973,CHOLAHLDNG  ,A ,Q,492.00,499.95,485.25,488.25,488.25,491.00,9,155,76384.00,
504988,WELCAST     ,X ,Q,592.00,592.00,592.00,592.00,592.00,593.00,7,31,18352.00,
505010,AUTO AXLES  ,B ,Q,1215.00,1219.95,1210.00,1213.45,1210.00,1212.60,45,232,281187.00,
505029,ATLAS CYCLES,T ,Q,76.50,76.50,74.35,74.60,74.35,76.75,21,684,51012.00,
505036,AUTO COR.GOA,X ,Q,583.00,584.90,575.05,582.55,582.55,579.40,37,149,86584.00,
505075,SETCO AUTO  ,B ,Q,32.10,32.90,32.10,32.45,32.90,32.50,81,14981,485471.00,
505141,SCOOTERS IND,T ,Q,31.35,33.90,31.35,33.90,33.90,33.00,14,1696,54925.00,
505160,TALBROS AUTO,B ,Q,198.65,202.95,198.65,202.90,202.95,199.55,8,126,25487.00,
505163,ZF STEERING ,X ,Q,760.00,760.00,737.00,749.75,750.00,766.50,56,1219,916745.00,
505192,SMLISUZU    ,B ,Q,809.75,809.75,780.00,785.15,785.15,807.00,200,1798,1423802.00,
505196,TIL LTD.    ,B ,Q,258.65,267.00,255.00,257.05,255.00,265.90,17,237,60921.00,
505200,EICHER MOTOR,A ,Q,20849.95,21193.75,20394.50,20987.65,20987.65,20623.10,1564,4092,84816388.00,
505216,ALFRED HERB ,X ,Q,640.00,640.00,634.40,639.95,639.95,667.75,14,126,80278.00,
505232,VELJAN      ,X ,Q,820.00,821.00,820.00,820.00,820.00,822.80,7,104,85292.00,
505242,DYNAMAT.TECH,B ,Q,1559.80,1569.85,1525.20,1541.95,1553.00,1588.75,20,104,160957.00,
505250,G.G.DANDEKAR,X ,Q,62.70,62.70,62.70,62.70,62.70,59.95,1,3,188.00,
505255,GMM PFAUDLER,B ,Q,1152.05,1200.00,1152.00,1193.00,1185.05,1184.60,57,284,335871.00,
505283,KIRLOSAR PN ,B ,Q,187.90,187.90,185.05,185.95,186.00,185.35,27,4125,764816.00,
505299,KULK-POWER  ,X ,Q,62.00,62.25,62.00,62.25,62.25,61.00,6,677,42018.00,
505302,LAXMI AUTOLM,X ,Q,41.40,45.50,41.40,45.50,45.50,43.50,3,202,8567.00,
505324,MANUGRAPH IN,B ,Q,27.15,28.00,27.15,28.00,27.55,27.40,15,107699,3015072.00,
505343,MONOTYPE IND,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,3,679,129.00,
505355,NESCO LTD   ,B ,Q,475.55,479.05,467.85,470.10,467.85,478.20,62,893,420070.00,
505358,INTEGRA ENG ,X ,Q,53.75,55.00,53.65,54.95,55.00,54.15,38,11747,642839.00,
505400,TEXINFRA    ,B ,Q,54.20,56.00,54.20,55.00,55.00,56.05,7,803,44715.00,
505412,WENDT(INDIA),B ,Q,3001.00,3030.85,2900.00,2913.25,2913.25,3020.00,32,88,257832.00,
505509,RESPON IND  ,B ,Q,94.90,94.90,90.00,90.75,90.00,91.20,56,10245,935660.00,
505515,SHYAMKAM INV,XT,Q,10.29,10.29,10.29,10.29,10.29,10.49,20,19852,204277.00,
505523,MAHA CORP   ,X ,Q,0.34,0.34,0.34,0.34,0.34,0.35,1,1,0.00,
505526,DOLAT INV.  ,X ,Q,62.00,62.90,61.25,61.50,61.50,62.45,252,48627,3008738.00,
505533,WESTLIFE DEV,A ,Q,419.00,419.00,402.60,410.25,410.25,419.90,624,19030,7834600.00,
505537,ZEE ENTER   ,A ,Q,406.10,412.50,405.00,410.80,410.80,404.65,6401,327061,133726348.00,
505576,GOLDCORP    ,X ,Q,55.05,55.05,55.05,55.05,55.05,50.05,5,647,35617.00,
505590,SVPGLOB     ,X ,Q,359.90,370.00,359.90,364.40,363.00,362.40,51,3874,1421711.00,
505650,SKYL MILLAR ,X ,Q,2.18,2.18,2.18,2.18,2.18,2.08,1,100,218.00,
505681,BIMETAL BEAR,X ,Q,484.00,484.00,465.25,479.90,479.90,476.65,15,136,64312.00,
505688,BHARAT GEARS,B ,Q,152.00,156.75,152.00,153.80,153.80,155.65,37,889,137335.00,
505700,ELECON ENG  ,B ,Q,60.25,61.65,60.25,60.95,60.95,61.55,92,6725,410297.00,
505710,GRAUER& WEIL,B ,Q,49.95,50.50,49.50,50.20,50.20,49.85,156,41801,2089090.00,
505711,GAJRA BEVEL ,XT,Q,0.65,0.68,0.65,0.68,0.68,0.65,2,1000,668.00,
505712,HIMTEK      ,X ,Q,137.05,137.85,128.25,130.50,130.50,139.00,103,4404,582152.00,
505714,GABRIEL(I)  ,B ,Q,149.95,151.20,148.90,150.70,150.35,150.30,79,2982,447908.00,
505720,HERC.HOISTS ,B ,Q,116.40,116.40,113.60,115.00,113.90,115.15,21,1345,153858.00,
